ishioka			141	
sawara			140	
undoukouen			140	
gijutsu	technology		140	
hokubu	northern part		139	
kiyose			139	
chan	suffix for familiar person		139	
kannon	avalokiteshvara		139	
tsune	usual state of things		139	
soto	other		139	
mo	algae		138	
mise	store		138	
chousei	adjustment		138	
gyousei	administration	x	138	
niiza			138	
hamura			138	
ushiku			138	
kimitsu	secrecy		138	
watatsumi			138	
takane	high price		138	
kaigan	coast		137	
hayashi	woods		137	
abukuma			137	
shigehara			137	
raifu	life		136	
shinonoisen			136	
kamiiida			136	
senyou	exclusive use		136	
hikarigaoka			136	
hanbai	sales		136	
gotenba			136	
kosenkyou			136	
ookawa			136	
kazu	several		135	
akishima			135	
fujino			135	
yotsuya			135	
tomi	riches		135	
asaka			135	
tamaki			135	
osamu			135	
ebisu	ebisu		134	
sonritsu	existence		134	
100			134	
chihousaibansho			134	
futamatagawa			134	
kitazawa			134	
tachibana	tachibana		133	
toukyoukyuukoudentetsu			133	
miura			133	
ion	ion		133	
sano			133	
onahama			133	
kousaten	crossing	x	133	
akiruno			133	
imaizumi			132	
isshoku	one color		132	
shirai			132	
han	example		132	
toyota			132	
umi	production		132	
ikeda			132	
takahashi			132	
kouryuu	custody		132	
ru			131	
eito	eight		131	
sasa	bamboo grass		131	
chaya	tea house		131	
urayasu			130	
waka	waka		130	
kōen			130	
kashiwazaki			130	
shimojou			130	
shima	island	x	129	
kyoushitsu	classroom		129	
isezaki			129	
makoto	truth		129	
50			128	
oohara			128	
miyamoto			128	
taiyou	ocean		128	
kokuzeikyoku	revenue office		128	
kawamata			128	
tāminaru	terminal	x	128	
petto	pet	x	128	
enoshima			128	
mart			127	
suzu	bell		127	
agatsumagawa			127	
gata			127	
koku	measure of volume		127	
kuma	bear		127	
kaijou	opening		127	
nen	sense		127	
zei			127	
oo	multi-		126	
seijou	pure		126	
kuroshio	japan current		126	
oodoori	main street		126	
higashinaka			126	
katori			126	
karasawa			126	
minisutoppu			126	
yoshino			126	
nakajima	island in a pond or river		126	
kumin	ward residents		126	
shu	scarlet		126	
ooizumi			126	
toukai	region south of tokyo on pacific ocean side of japan		126	
kumano			126	
shuzenji			126	
kame	tortoise		125	
「			125	
nakazawa			125	
yasu			125	
makuhari			125	
iso	beach	x	125	
hamakita			125	
fukiage			124	
park			124	
aoi	blue		124	
maekawa			124	
egawa			124	
hosoe			124	
nousei	agricultural administration		124	
kazo			123	
」			123	
mogi	imitation		123	
kimu	gold		123	
kiri	fog		123	
dentetsu	electric railway		123	
gin	silver		123	
asobiba	playground		123	
13			122	
kama	stove		122	
々			122	
minowa			122	
maruetsu			122	
kyougi	conference		122	
tagawa			122	
izumikawa			122	
nakayama			122	
sutēshon	station	x	122	
narashino			122	
hiru	noon		122	
kourei	advanced  age		121	
azuma			121	
karasugawa			121	
keiou			121	
nihonbashi			121	
kaihatsu	development		121	
kuni	country		121	
cha	tea		121	
mitake			121	
yokohamaginkou			121	
kuriyama			120	
be			120	
kikan	quarterly		120	
ooyama	great mountain		120	
ikebukuro			120	
kakou	burner		120	
fukuda			120	
yume	dream		120	
kofun	ancient burial mound		120	
bosatsu	bodhisattva		119	
abiko			119	
kumagaya			119	
surīefu			119	
takahata			119	
suehiro	spreading out like an open fan		119	
tatsu	to stand		119	
kanai	wife		119	
wakou			119	
hirakawa			119	
keisatsushomae			119	
family			119	
ss			118	
kugayama			118	
den			118	
guraundo	sports ground	x	118	
omi			118	
atsushi			118	
298			118	
mezon	house		118	
kirisuto			118	
tsutsuji			117	
annaka			117	
kaji	rudder		117	
higashiyamato			117	
minamisawa			117	
takao			117	
nanchuu			117	
sanada			117	
asa	cannabis		117	
nara	if		117	
sākuru	group with a common interest		117	
nishiki	brocade		117	
tankidaigaku	junior college	x	117	
51			116	
ooiso			116	
yamaguchi			116	
shioyama			116	
don	don		116	
kasumi	haze		116	
gurando	large		115	
fune	ship		115	
nadachi			115	
nakanojou			115	
kosugi			115	
mitsumine			115	
co			114	
ic			114	
honmoku			114	
koganei			114	
ooigawa			114	
tome			114	
fuu	method		114	
nakoso			114	
405			114	
tennou	emperor of japan		114	
14			113	
sakuragawa			113	
nishichuu			113	
koin	coin		113	
satou	sugar		113	
izu			113	
shirubā	silver	x	113	
uerushia			113	
ishibashi	stone bridge		113	
motomachi			113	
24			112	
sumi	sumi		112	
minamimachi			112	
nomugi			112	
doraggu	drag		112	
kaihin	seaside		112	
gasuto			112	
&			111	
kichi	base		111	
ei			111	
misawa			111	
tawā	tower	x	111	
takashi			111	
karyoku	heating power		111	
toukyuu	grade		111	
mōru	mall	x	111	
takeshi			111	
yuuhodou			111	
shigeru	to grow thickly		111	
damu	dam		111	
furawā			111	
chouzai	making up a prescription		110	
oono	large field		110	
dono	form of address used for official letters and business letters, and in letters to inferiors		110	
ooarai			110	
gakushuu	study		110	
kichijouji			110	
宇			110	
okegawa			110	
nabe	saucepan		110	
kitagawa	north side		110	
fukushima			110	
kashi	loan		110	
hane	feather		110	
takashima			110	
usui	thin		110	
fuchi	deep pool		109	
oogo			109	
mooka			109	
undou	exercise		109	
omigawa			109	
shibakawa			109	
kakio			109	
nyū	new		109	
yoko	horizontal		109	
uematsu			109	
higashitotsuka			109	
shoukai	introduction		109	
hinan	criticism		109	
magome			108	
myou	strange		108	
ryokan	ryokan		108	
higashihiyama			108	
tateiwa			108	
ooshika			108	
sui			108	
saikuringurōdo			108	
kusuri	medicine		108	
uonogawa			108	
hiyoshi			107	
yugawara			107	
takahagi			107	
aduma			107	
bandate			107	
suisan	aquatic products		107	
sukai	sky		107	
hashimoto			107	
utsubusa			107	
kawai			107	
watarasegawa			107	
tozan	mountain climbing		107	
ikumi			106	
matsuya			106	
bunkyou	education		106	
suidou	water service		106	
hiruzu			106	
toudai	lighthouse		106	
haruna			106	
kajiyashiki			105	
inagi			105	
ooba			105	
kaminohara			105	
mariko			105	
gomi	rubbish		105	
sekikawa			105	
kawaguchiko			105	
haisui	drainage		105	
shirane			105	
wakamiya			105	
haibara			105	
sunakku	snack		105	
yayoi	third month of the lunar calendar		104	
kara	emptiness		104	
atago			104	
sakagawa			104	
takizawa			104	
momiji	autumn colours		104	
honsha	head office		104	
benten			104	
awano			104	
meiji	elucidation		104	
kokubunji	state-supported provincial temples		104	
kitamoto			104	
tsuma	wife		104	
asakusa			104	
yumi	bow		104	
kusatsu			104	
kongou	mixing		104	
kouyou	enhancement		103	
sakagami			103	
seimon	main gate		103	
nogawa			103	
tooka			103	
soubudai			103	
d			102	
makudonarudo			102	
minamishiga			102	
kensa	inspection		102	
iwai	congratulation		102	
asada			102	
azusagawa			102	
pan	bread		102	
toyooka			102	
numa	swamp		102	
yui			102	
asou			102	
nishihiyama			102	
shouji	shoji		102	
kannagawa			102	
yoshioka			102	
gi	ceremony		101	
sugadaira			101	
oomae			101	
naru	to sound		101	
kamazawa			101	
niku	flesh		101	
samukawa			101	
kitano			101	
ikegami			100	
katsunuma			100	
mashitomi			100	
乃			100	
mune	ridge		100	
shokuhin	food		100	
ishii			100	
jouhoku			100	
yamate	place near the mountains		100	
touyou	embezzlement		100	
ran	column of text		100	
mutsumi			100	
kutsu	shoes		100	
hajikano			100	
yamamoto			100	
sone			100	
ou	to bear		99	
sugiyama			99	
kata	direction		99	
kaze	common cold		99	
tenji	braille		99	
okada			99	
hatogaya			99	
tsudanuma			99	
shikyoku	branch office		99	
mibukawa			99	
komagadake			99	
isumi			99	
antei	stability		99	
ashikawa			99	
yaito			99	
yashio			99	
jibiinkouka			98	
nishitoukyou			98	
boshi	mother and child		98	
kaneko	money		98	
gaku	forehead		98	
tora	third sign of chinese zodiac		98	
iku	to go		98	
yoshii			98	
148			98	
touhoku	north-east		98	
souko	storehouse		98	
hijiri			98	
hime	princess		98	
sumire			98	
ojiya			98	
'			97	
tsurukawa			97	
mizuumi	lake		97	
kamagaya			97	
wari	rate		97	
ido	water well		97	
achi			97	
kankyou	environment		97	
shiobara			97	
katou	excessive		97	
kushi	comb		97	
komagata			97	
koukyou	prosperous conditions		96	
yuuki	organic		96	
beru	bell		96	
inage			96	
toranomon			96	
takatsu			96	
kamimachiya			96	
sodegaura			96	
nagatsuta			96	
hamano			96	
nakashio			96	
musashimurayama			96	
jusan			96	
genpan			96	
nougyou	agriculture		96	
294			96	
irimagawa			96	
bekkan	annexe		96	
imaichi	one more		96	
chuubu	center		96	
reien	cemetery		96	
suki	liking		95	
fujiyoshida			95	
nagatani			95	
湘			95	
eda	branch		95	
nire			95	
yachiyo	eternity		95	
housui	hosing down		95	
haga			95	
kousaka			95	
unyu	transportation		95	
ushi	cattle		95	
hitoshi	et cetera		95	
okamoto			95	
suke			94	
yanagi	willow		94	
